geolocation_zip_code_prefix,geolocation_city,geolocation_state
1454,sao paulo,SP
1455,sao paulo,SP
1456,sao paulo,SP
1457,sao paulo,SP
1472,sao paulo,SP
1489,sao paulo,SP
1501,são paulo,SP
1502,sao paulo,SP
1503,são paulo,SP
1504,sao paulo,SP
1505,são paulo,SP
1506,são paulo,SP
1507,são paulo,SP
1508,sao paulo,SP
1509,sao paulo,SP
1510,sao paulo,SP
1511,sao paulo,SP
1512,sao paulo,SP
1513,sao paulo,SP
1514,sao paulo,SP
1516,sao paulo,SP
1517,sao paulo,SP
1518,sao paulo,SP
1519,sao paulo,SP
1520,sao paulo,SP
1521,sao paulo,SP
1522,sao paulo,SP
1523,sao paulo,SP
1524,sao paulo,SP
1525,sao paulo,SP
1526,sao paulo,SP
1527,sao paulo,SP
1528,sao paulo,SP
1529,sao paulo,SP
1530,sao paulo,SP
1531,sao paulo,SP
1532,sao paulo,SP
1533,sao paulo,SP
1534,sao paulo,SP
1535,sao paulo,SP
1536,sao paulo,SP
1537,sao paulo,SP
1538,são paulo,SP
1539,sao paulo,SP
1540,sao paulo,SP
1541,sao paulo,SP
1542,sao paulo,SP
1543,sao paulo,SP
1544,sao paulo,SP
1545,sao paulo,SP
1546,são paulo,SP
1547,sao paulo,SP
1548,sao paulo,SP
1549,sao paulo,SP
1550,sao paulo,SP
1551,sao paulo,SP
1552,sao paulo,SP
1553,sao paulo,SP
2009,sao paulo,SP
2010,são paulo,SP
2011,sao paulo,SP
2012,sao paulo,SP
2013,sao paulo,SP
2016,sao paulo,SP
2017,são paulo,SP
2018,sao paulo,SP
2019,sao paulo,SP
2020,sao paulo,SP
2021,sao paulo,SP
2022,são paulo,SP
2028,sao paulo,SP
2029,sao paulo,SP
2030,sao paulo,SP
2031,sao paulo,SP
2032,sao paulo,SP
2033,sao paulo,SP
2034,sao paulo,SP
2035,são paulo,SP
2036,sao paulo,SP
2037,sao paulo,SP
2038,sao paulo,SP
2039,sao paulo,SP
2040,sao paulo,SP
2041,sao paulo,SP
2042,sao paulo,SP
2043,sao paulo,SP
2044,sao paulo,SP
2045,sao paulo,SP
2046,sao paulo,SP
2047,sao paulo,SP
2049,são paulo,SP
2050,são paulo,SP
2051,sao paulo,SP
2052,sao paulo,SP
2053,sao paulo,SP
2054,sao paulo,SP
2055,sao paulo,SP
2056,são paulo,SP
2060,sao paulo,SP
2064,sao paulo,SP
2065,sao paulo,SP
2066,sao paulo,SP
2067,sao paulo,SP
2068,sao paulo,SP
2069,sao paulo,SP
2071,sao paulo,SP
2072,sao paulo,SP
2073,sao paulo,SP
2074,sao paulo,SP
2075,sao paulo,SP
2076,sao paulo,SP
2077,sao paulo,SP
2078,sao paulo,SP
2079,sao paulo,SP
2080,sao paulo,SP
2081,sao paulo,SP
2082,sao paulo,SP
2083,sao paulo,SP
2084,sao paulo,SP
2085,sao paulo,SP
2088,sao paulo,SP
2089,sao paulo,SP
2110,sao paulo,SP
2111,sao paulo,SP
2112,são paulo,SP
2113,sao paulo,SP
2114,sao paulo,SP
2115,sao paulo,SP
2116,sao paulo,SP
2117,sao paulo,SP
2118,sao paulo,SP
2119,sao paulo,SP
2120,são paulo,SP
2121,sao paulo,SP
2122,sao paulo,SP
2123,sao paulo,SP
2124,sao paulo,SP
2125,sao paulo,SP
2126,sao paulo,SP
2127,sao paulo,SP
2128,sao paulo,SP
2129,sao paulo,SP
2130,são paulo,SP
2131,sao paulo,SP
2132,sao paulo,SP
2133,sao paulo,SP
2134,sao paulo,SP
2135,sao paulo,SP
2136,são paulo,SP
2137,sao paulo,SP
2138,sao paulo,SP
2139,são paulo,SP
2140,sao paulo,SP
2141,são paulo,SP
2142,sao paulo,SP
2143,sao paulo,SP
2144,sao paulo,SP
2145,sao paulo,SP
2146,sao paulo,SP
2147,são paulo,SP
2150,sao paulo,SP
2151,sao paulo,SP
2152,são paulo,SP
2161,são paulo,SP
2162,são paulo,SP
2166,sao paulo,SP
2167,sao paulo,SP
2168,são paulo,SP
2169,sao paulo,SP
2170,são paulo,SP
2174,sao paulo,SP
2175,sao paulo,SP
2176,sao paulo,SP
2177,sao paulo,SP
2178,são paulo,SP
2179,sao paulo,SP
2180,sao paulo,SP
2181,são paulo,SP
2185,sao paulo,SP
2186,sao paulo,SP
2187,sao paulo,SP
2188,sao paulo,SP
2189,são paulo,SP
2190,sao paulo,SP
2201,são paulo,SP
2202,sao paulo,SP
2203,sao paulo,SP
2204,sao paulo,SP
2205,sao paulo,SP
2206,são paulo,SP
2207,sao paulo,SP
2208,sao paulo,SP
2209,sao paulo,SP
2210,sao paulo,SP
2211,sao paulo,SP
2212,sao paulo,SP
2213,sao paulo,SP
2214,são paulo,SP
2215,sao paulo,SP
2216,sao paulo,SP
2217,são paulo,SP
2218,sao paulo,SP
2219,sao paulo,SP
2220,sao paulo,SP
2221,sao paulo,SP
2222,sao paulo,SP
2223,sao paulo,SP
2224,sao paulo,SP
2225,sao paulo,SP
2226,sao paulo,SP
2227,sao paulo,SP
2228,sao paulo,SP
2229,sao paulo,SP
2230,sao paulo,SP
2231,são paulo,SP
2232,sao paulo,SP
2233,sao paulo,SP
2234,são paulo,SP
2235,sao paulo,SP
2236,sao paulo,SP
2237,sao paulo,SP
2238,sao paulo,SP
2239,sao paulo,SP
2240,sao paulo,SP
2241,sao paulo,SP
2242,sao paulo,SP
2243,sao paulo,SP
2244,sao paulo,SP
2245,sao paulo,SP
2246,sao paulo,SP
2247,sao paulo,SP
2248,sao paulo,SP
2249,sao paulo,SP
2250,sao paulo,SP
2251,sao paulo,SP
2252,sao paulo,SP
2253,sao paulo,SP
2254,sao paulo,SP
2255,sao paulo,SP
2256,são paulo,SP
2257,sao paulo,SP
2258,sao paulo,SP
2259,são paulo,SP
2260,sao paulo,SP
2261,sao paulo,SP
2262,sao paulo,SP
2263,são paulo,SP
2264,são paulo,SP
2265,são paulo,SP
2266,são paulo,SP
2267,sao paulo,SP
2268,sao paulo,SP
2269,são paulo,SP
2270,sao paulo,SP
2271,sao paulo,SP
2272,sao paulo,SP
2273,sao paulo,SP
2274,sao paulo,SP
2275,sao paulo,SP
2276,sao paulo,SP
2277,sao paulo,SP
2278,sao paulo,SP
2279,sao paulo,SP
2280,sao paulo,SP
2281,sao paulo,SP
2282,sao paulo,SP
2284,sao paulo,SP
2285,sao paulo,SP
2286,sao paulo,SP
2288,sao paulo,SP
2289,sao paulo,SP
2290,sao paulo,SP
2301,sao paulo,SP
2302,sao paulo,SP
2303,sao paulo,SP
2304,sao paulo,SP
2305,sao paulo,SP
2306,sao paulo,SP
2307,sao paulo,SP
2308,sao paulo,SP
2309,sao paulo,SP
2310,sao paulo,SP
2311,sao paulo,SP
2312,são paulo,SP
2313,sao paulo,SP
2314,sao paulo,SP
2315,sao paulo,SP
2316,sao paulo,SP
2317,sao paulo,SP
2318,sao paulo,SP
2319,são paulo,SP
2320,sao paulo,SP
2321,sao paulo,SP
2322,sao paulo,SP
2323,sao paulo,SP
2324,sao paulo,SP
2325,sao paulo,SP
2326,sao paulo,SP
2327,sao paulo,SP
2328,sao paulo,SP
2329,sao paulo,SP
2330,são paulo,SP
2331,sao paulo,SP
2332,sao paulo,SP
2333,são paulo,SP
2334,são paulo,SP
2335,sao paulo,SP
2336,são paulo,SP
2337,são paulo,SP
2338,sao paulo,SP
2339,são paulo,SP
2340,sao paulo,SP
2341,são paulo,SP
2342,sao paulo,SP
2343,sao paulo,SP
2344,sao paulo,SP
2345,sao paulo,SP
2346,sao paulo,SP
2347,sao paulo,SP
2348,sao paulo,SP
2349,sao paulo,SP
2350,sao paulo,SP
2351,sao paulo,SP
2352,sao paulo,SP
2353,sao paulo,SP
2354,sao paulo,SP
2355,são paulo,SP
2356,sao paulo,SP
2357,sao paulo,SP
2358,sao paulo,SP
2359,sao paulo,SP
2360,sao paulo,SP
2361,sao paulo,SP
2362,sao paulo,SP
2363,sao paulo,SP
2364,são paulo,SP
2365,sao paulo,SP
2366,sao paulo,SP
2367,sao paulo,SP
2368,sao paulo,SP
2370,sao paulo,SP
2371,sao paulo,SP
2372,são paulo,SP
2373,sao paulo,SP
2374,sao paulo,SP
2375,sao paulo,SP
2376,sao paulo,SP
2377,sao paulo,SP
2378,são paulo,SP
2401,sao paulo,SP
2402,sao paulo,SP
2403,sao paulo,SP
2404,sao paulo,SP
2405,sao paulo,SP
2406,sao paulo,SP
2407,sao paulo,SP
2408,sao paulo,SP
2409,sao paulo,SP
2410,sao paulo,SP
2411,sao paulo,SP
2413,sao paulo,SP
2415,são paulo,SP
2416,são paulo,SP
2417,sao paulo,SP
2418,são paulo,SP
2419,sao paulo,SP
2420,sao paulo,SP
2421,sao paulo,SP
2422,sao paulo,SP
2423,sao paulo,SP
2430,sao paulo,SP
2431,sao paulo,SP
2432,sao paulo,SP
2433,são paulo,SP
2434,sao paulo,SP
2435,sao paulo,SP
2436,sao paulo,SP
2440,sao paulo,SP
2441,sao paulo,SP
2442,sao paulo,SP
2443,são paulo,SP
2450,sao paulo,SP
2451,sao paulo,SP
2452,são paulo,SP
2460,são paulo,SP
2461,sao paulo,SP
2462,sao paulo,SP
2463,sao paulo,SP
2464,sao paulo,SP
2465,sao paulo,SP
2466,sao paulo,SP
2467,são paulo,SP
2468,sao paulo,SP
2469,sao paulo,SP
2470,sao paulo,SP
2471,sao paulo,SP
2472,sao paulo,SP
2473,são paulo,SP
2474,sao paulo,SP
2475,sao paulo,SP
2478,sao paulo,SP
2479,sao paulo,SP
2501,sao paulo,SP
2508,sao paulo,SP
2510,sao paulo,SP
2511,sao paulo,SP
2512,são paulo,SP
2513,sao paulo,SP
2514,sao paulo,SP
2515,sao paulo,SP
2516,sao paulo,SP
2517,sao paulo,SP
2518,sao paulo,SP
2519,sao paulo,SP
2520,sao paulo,SP
2521,sao paulo,SP
2522,sao paulo,SP
2523,sao paulo,SP
2524,sao paulo,SP
2525,sao paulo,SP
2526,sao paulo,SP
2530,sao paulo,SP
2531,sao paulo,SP
2532,sao paulo,SP
2533,sao paulo,SP
2534,sao paulo,SP
2535,sao paulo,SP
2536,sao paulo,SP
2537,sao paulo,SP
2538,são paulo,SP
2539,sao paulo,SP
2540,sao paulo,SP
2541,sao paulo,SP
2542,sao paulo,SP
2543,sao paulo,SP
2544,sao paulo,SP
2545,sao paulo,SP
2546,sao paulo,SP
2550,sao paulo,SP
2551,são paulo,SP
2552,sao paulo,SP
2553,sao paulo,SP
2554,sao paulo,SP
2555,sao paulo,SP
2556,sao paulo,SP
2557,sao paulo,SP
2558,sao paulo,SP
2559,são paulo,SP
2560,sao paulo,SP
2561,sao paulo,SP
2562,sao paulo,SP
2563,sao paulo,SP
2564,sao paulo,SP
2565,sao paulo,SP
2566,sao paulo,SP
2567,sao paulo,SP
2577,sao paulo,SP
2598,sao paulo,SP
2610,sao paulo,SP
2611,sao paulo,SP
2612,são paulo,SP
2613,sao paulo,SP
2614,são paulo,SP
2615,sao paulo,SP
2616,sao paulo,SP
2617,sao paulo,SP
2618,são paulo,SP
2630,sao paulo,SP
2631,sao paulo,SP
2632,sao paulo,SP
2633,sao paulo,SP
2634,sao paulo,SP
2635,são paulo,SP
2636,sao paulo,SP
2637,sao paulo,SP
2643,sao paulo,SP
2649,sao paulo,SP
2650,sao paulo,SP
2651,sao paulo,SP
2652,sao paulo,SP
2653,são paulo,SP
2670,sao paulo,SP
2671,sao paulo,SP
2672,sao paulo,SP
2673,sao paulo,SP
2674,sao paulo,SP
2675,sao paulo,SP
2676,sao paulo,SP
2677,são paulo,SP
2678,sao paulo,SP
2679,sao paulo,SP
2680,sao paulo,SP
2701,sao paulo,SP
2710,sao paulo,SP
2712,sao paulo,SP
2713,sao paulo,SP
2714,sao paulo,SP
2715,são paulo,SP
2716,são paulo,SP
2717,sao paulo,SP
2720,sao paulo,SP
2721,sao paulo,SP
2722,sao paulo,SP
2723,sao paulo,SP
2724,sao paulo,SP
2725,sao paulo,SP
2726,são paulo,SP
2727,sao paulo,SP
2728,sao paulo,SP
2729,sao paulo,SP
2730,sao paulo,SP
2731,sao paulo,SP
2732,sao paulo,SP
2733,sao paulo,SP
2734,sao paulo,SP
2735,sao paulo,SP
2736,sao paulo,SP
2737,sao paulo,SP
2738,são paulo,SP
2739,são paulo,SP
2750,sao paulo,SP
2751,sao paulo,SP
2752,sao paulo,SP
2753,sao paulo,SP
2754,sao paulo,SP
2755,são paulo,SP
2756,sao paulo,SP
2757,sao paulo,SP
2758,sao paulo,SP
2759,sao paulo,SP
2760,sao paulo,SP
2762,sao paulo,SP
2763,sao paulo,SP
2764,são paulo,SP
2765,sao paulo,SP
2801,sao paulo,SP
2802,sao paulo,SP
2803,sao paulo,SP
2804,sao paulo,SP
2805,sao paulo,SP
2806,sao paulo,SP
2807,sao paulo,SP
2808,sao paulo,SP
2809,sao paulo,SP
2810,sao paulo,SP
2811,sao paulo,SP
2812,sao paulo,SP
2813,sao paulo,SP
2814,sao paulo,SP
2815,sao paulo,SP
2816,são paulo,SP
2817,sao paulo,SP
2820,são paulo,SP
2829,sao paulo,SP
2831,sao paulo,SP
2832,sao paulo,SP
2833,sao paulo,SP
2834,sao paulo,SP
2835,sao paulo,SP
2836,sao paulo,SP
2837,sao paulo,SP
2839,sao paulo,SP
2840,sao paulo,SP
2841,sao paulo,SP
2842,sao paulo,SP
2844,sao paulo,SP
2845,sao paulo,SP
2846,sao paulo,SP
2847,são paulo,SP
2848,sao paulo,SP
2849,são paulo,SP
2850,são paulo,SP
2851,sao paulo,SP
2853,são paulo,SP
2854,sao paulo,SP
2855,sao paulo,SP
2856,sao paulo,SP
2857,sao paulo,SP
2858,sao paulo,SP
2859,são paulo,SP
2860,sao paulo,SP
2861,são paulo,SP
2862,sao paulo,SP
2863,sao paulo,SP
2864,sao paulo,SP
2865,sao paulo,SP
2866,sao paulo,SP
2867,sao paulo,SP
2870,sao paulo,SP
2871,sao paulo,SP
2872,sao paulo,SP
2873,são paulo,SP
2874,sao paulo,SP
2875,sao paulo,SP
2876,sao paulo,SP
2877,sao paulo,SP
2878,sao paulo,SP
2879,sao paulo,SP
2880,são paulo,SP
2881,sao paulo,SP
2882,sao paulo,SP
2883,sao paulo,SP
2888,sao paulo,SP
2908,sao paulo,SP
2909,sao paulo,SP
2910,sao paulo,SP
2911,sao paulo,SP
2912,sao paulo,SP
2913,sao paulo,SP
2914,sao paulo,SP
2915,sao paulo,SP
2916,sao paulo,SP
2917,sao paulo,SP
2918,sao paulo,SP
2919,são paulo,SP
2920,são paulo,SP
2921,sao paulo,SP
2924,sao paulo,SP
2925,sao paulo,SP
2926,sao paulo,SP
2927,são paulo,SP
2928,sao paulo,SP
2929,sao paulo,SP
2930,sao paulo,SP
2931,sao paulo,SP
2932,sao paulo,SP
2933,são paulo,SP
2934,sao paulo,SP
2935,são paulo,SP
2936,sao paulo,SP
2937,sao paulo,SP
2938,sao paulo,SP
2939,são paulo,SP
2940,sao paulo,SP
2941,sao paulo,SP
2942,sao paulo,SP
2943,sao paulo,SP
2944,sao paulo,SP
2945,sao paulo,SP
2950,sao paulo,SP
2951,sao paulo,SP
2952,sao paulo,SP
2955,sao paulo,SP
2956,sao paulo,SP
2957,sao paulo,SP
2959,sao paulo,SP
2960,sao paulo,SP
2961,sao paulo,SP
2962,sao paulo,SP
2963,sao paulo,SP
2964,sao paulo,SP
2965,sao paulo,SP
2966,sao paulo,SP
2967,sao paulo,SP
2968,sao paulo,SP
2969,sao paulo,SP
2970,sao paulo,SP
2971,são paulo,SP
2972,sao paulo,SP
2975,são paulo,SP
2976,sao paulo,SP
2977,sao paulo,SP
2978,sao paulo,SP
2979,sao paulo,SP
2981,são paulo,SP
2982,são paulo,SP
2983,são paulo,SP
2984,sao paulo,SP
2985,sao paulo,SP
2986,sao paulo,SP
2987,sao paulo,SP
2988,são paulo,SP
2989,sao paulo,SP
2990,sao paulo,SP
2991,sao paulo,SP
2992,sao paulo,SP
2993,sao paulo,SP
2994,são paulo,SP
2995,sao paulo,SP
2996,sao paulo,SP
2997,sao paulo,SP
2998,são paulo,SP
3001,sao paulo,SP
3002,são paulo,SP
3003,sao paulo,SP
3004,sao paulo,SP
3005,sao paulo,SP
3006,sao paulo,SP
3007,sao paulo,SP
3008,sao paulo,SP
3009,sao paulo,SP
3010,sao paulo,SP
3011,sao paulo,SP
3012,sao paulo,SP
3013,são paulo,SP
3014,sao paulo,SP
3015,sao paulo,SP
3016,sao paulo,SP
3017,sao paulo,SP
3018,sao paulo,SP
3019,sao paulo,SP
3020,são paulo,SP
3021,sao paulo,SP
3022,são paulo,SP
3023,sao paulo,SP
3024,sao paulo,SP
3025,sao paulo,SP
3026,sao paulo,SP
3027,sao paulo,SP
3028,são paulo,SP
3029,sao paulo,SP
3030,sao paulo,SP
3031,sao paulo,SP
3032,são paulo,SP
3033,sao paulo,SP
3034,sao paulo,SP
3035,sao paulo,SP
3036,são paulo,SP
3040,sao paulo,SP
3041,sao paulo,SP
3042,sao paulo,SP
3043,são paulo,SP
3044,sao paulo,SP
3045,sao paulo,SP
3046,sao paulo,SP
3047,sao paulo,SP
3050,sao paulo,SP
3051,sao paulo,SP
3052,sao paulo,SP
3053,sao paulo,SP
3054,sao paulo,SP
3055,sao paulo,SP
3057,sao paulo,SP
3058,sao paulo,SP
3059,sao paulo,SP
3060,sao paulo,SP
3061,sao paulo,SP
3062,sao paulo,SP
3063,sao paulo,SP
3064,sao paulo,SP
3065,sao paulo,SP
3066,sao paulo,SP
3067,são paulo,SP
3068,sao paulo,SP
3069,sao paulo,SP
3070,sao paulo,SP
3071,sao paulo,SP
3072,sao paulo,SP
3073,são paulo,SP
3074,são paulo,SP
3076,sao paulo,SP
3077,sao paulo,SP
3080,sao paulo,SP
3081,sao paulo,SP
3084,sao paulo,SP
3085,sao paulo,SP
3086,sao paulo,SP
3087,sao paulo,SP
3088,sao paulo,SP
3089,sao paulo,SP
3090,sao paulo,SP
3101,sao paulo,SP
3102,sao paulo,SP
3103,sao paulo,SP
3104,sao paulo,SP
3105,sao paulo,SP
3106,são paulo,SP
3107,são paulo,SP
3108,sao paulo,SP
3109,sao paulo,SP
3110,sao paulo,SP
3111,sao paulo,SP
3112,sao paulo,SP
3113,sao paulo,SP
3114,sao paulo,SP
3115,sao paulo,SP
3116,sao paulo,SP
3117,sao paulo,SP
3118,sao paulo,SP
3119,sao paulo,SP
3120,são paulo,SP
3121,sao paulo,SP
3122,sao paulo,SP
3123,sao paulo,SP
3124,sao paulo,SP
3125,sao paulo,SP
3126,sao paulo,SP
3127,sao paulo,SP
3128,sao paulo,SP
3129,são paulo,SP
3130,sao paulo,SP
3131,sao paulo,SP
3132,sao paulo,SP
3133,sao paulo,SP
3134,sao paulo,SP
3135,sao paulo,SP
3136,sao paulo,SP
3137,sao paulo,SP
3138,sao paulo,SP
3139,sao paulo,SP
3140,sao paulo,SP
3141,sao paulo,SP
3142,sao paulo,SP
3143,sao paulo,SP
3144,são paulo,SP
3145,sao paulo,SP
3146,sao paulo,SP
3147,sao paulo,SP
3149,sao paulo,SP
3150,sao paulo,SP
3151,sao paulo,SP
3152,sao paulo,SP
3153,são paulo,SP
3154,sao paulo,SP
3155,sao paulo,SP
3156,sao paulo,SP
3157,sao paulo,SP
3158,sao paulo,SP
3159,sao paulo,SP
3160,são paulo,SP
3161,sao paulo,SP
3162,sao paulo,SP
3163,sao paulo,SP
3164,sao paulo,SP
3165,sao paulo,SP
3166,sao paulo,SP
3167,são paulo,SP
3168,sao paulo,SP
3169,sao paulo,SP
3170,sao paulo,SP
3171,sao paulo,SP
3172,sao paulo,SP
3173,sao paulo,SP
3174,sao paulo,SP
3175,sao paulo,SP
3176,sao paulo,SP
3177,são paulo,SP
3178,são paulo,SP
3179,sao paulo,SP
3180,sao paulo,SP
3181,sao paulo,SP
3182,são paulo,SP
3183,sao paulo,SP
3184,sao paulo,SP
3185,sao paulo,SP
3186,sao paulo,SP
3187,sao paulo,SP
3188,sao paulo,SP
3189,sao paulo,SP
3190,sao paulo,SP
3191,sao paulo,SP
3192,sao paulo,SP
3193,sao paulo,SP
3194,são paulo,SP
3195,sao paulo,SP
3201,sao paulo,SP
3202,sao paulo,SP
3203,sao paulo,SP
3204,sao paulo,SP
3205,sao paulo,SP
3206,sao paulo,SP
3207,sao paulo,SP
3208,sao paulo,SP
3209,sao paulo,SP
3210,sao paulo,SP
3211,sao paulo,SP
3212,sao paulo,SP
3213,sao paulo,SP
3214,são paulo,SP
3215,sao paulo,SP
3216,sao paulo,SP
3220,sao paulo,SP
3221,são paulo,SP
3222,sao paulo,SP
3223,são paulo,SP
3224,são paulo,SP
3225,sao paulo,SP
3226,sao paulo,SP
3227,sao paulo,SP
3231,são paulo,SP
3236,são paulo,SP
3237,são paulo,SP
3238,sao paulo,SP
3239,são paulo,SP
3240,sao paulo,SP
3241,são paulo,SP
3242,sao paulo,SP
3243,sao paulo,SP
3244,sao paulo,SP
3245,sao paulo,SP
3249,sao paulo,SP
3250,sao paulo,SP
3251,sao paulo,SP
3252,sao paulo,SP
3253,sao paulo,SP
3254,são paulo,SP
3255,sao paulo,SP
3256,sao paulo,SP
3257,sao paulo,SP
3258,sao paulo,SP
3259,sao paulo,SP
3260,sao paulo,SP
3261,sao paulo,SP
3262,sao paulo,SP
3263,são paulo,SP
3264,sao paulo,SP
3265,são paulo,SP
3266,sao paulo,SP
3267,sao paulo,SP
3268,sao paulo,SP
3269,sao paulo,SP
3270,são paulo,SP
3271,sao paulo,SP
3272,sao paulo,SP
3273,sao paulo,SP
3274,sao paulo,SP
3275,sao paulo,SP
3276,são paulo,SP
3277,sao paulo,SP
3278,sao paulo,SP
3279,sao paulo,SP
3280,sao paulo,SP
3281,sao paulo,SP
3282,são paulo,SP
3283,sao paulo,SP
3284,sao paulo,SP
3286,sao paulo,SP
3287,são paulo,SP
3288,sao paulo,SP
3289,sao paulo,SP
3294,sao paulo,SP
3295,sao paulo,SP
3301,sao paulo,SP
3302,sao paulo,SP
3303,sao paulo,SP
3304,sao paulo,SP
3305,são paulo,SP
3306,sao paulo,SP
